GO_ID	SS14	TPE	TEN
GO:0009279	9.12723288327268e-28	1	1
GO:0019867	9.12723288327268e-28	1	1
GO:0071709	9.12723288327268e-28	1	1
GO:0061024	9.12723288327268e-28	1	1
GO:0008955	6.91627845241741e-17	1	1
GO:0022607	2.22323300310209e-12	1	1
GO:0046165	2.15509259419221e-10	1	1
GO:0034309	2.15509259419221e-10	1	1
GO:1901617	2.15509259419221e-10	1	1
GO:0034308	2.15509259419221e-10	1	1
GO:0016758	1.5718191136956e-08	1	1
GO:0004672	5.93045651645884e-08	1	1
GO:0140299	5.93045651645884e-08	1	1
GO:0004673	5.93045651645884e-08	1	1
GO:0000155	5.93045651645884e-08	1	1
GO:0046677	9.25331880246118e-08	1	1
GO:0008144	1.15130450001615e-07	1	1
GO:1901615	1.71084882705904e-07	1	1
GO:0006066	1.71084882705904e-07	1	1
GO:0004712	2.85054144590361e-07	1	1
GO:0009441	2.85054144590361e-07	1	1
GO:0004594	2.85054144590361e-07	1	1
GO:0004674	2.85054144590361e-07	1	1
GO:0008967	2.85054144590361e-07	1	1
GO:0030257	2.85054144590361e-07	1	1
GO:0072330	2.85054144590361e-07	1	1
GO:0046295	2.85054144590361e-07	1	1
GO:0006109	2.85054144590361e-07	1	1
GO:0030254	2.85054144590361e-07	1	1
GO:0006430	2.62042079488667e-06	1	1
GO:0004824	2.62042079488667e-06	1	1
GO:0051537	5.55949690930749e-06	1	1
GO:0008972	8.0943274689846e-06	1	1
GO:0008478	8.0943274689846e-06	1	1
GO:0042995	1.90947511989822e-05	1	1
GO:0009288	1.90947511989822e-05	1	1
GO:0016043	2.1706034133698e-05	1	1
GO:0070008	2.47029959527534e-05	1	1
GO:0031406	2.47029959527534e-05	1	1
GO:0043177	2.47029959527534e-05	1	1
GO:0033293	2.47029959527534e-05	1	1
GO:0004185	2.47029959527534e-05	1	1
GO:0008658	2.47029959527534e-05	1	1
GO:0009002	2.47029959527534e-05	1	1
GO:0016776	7.90695831442754e-05	1	1
GO:0016849	0.000107826755316406	1	1
GO:0042724	0.000170333472764181	1	1
GO:0006772	0.000170333472764181	1	1
GO:0009228	0.000170333472764181	1	1
GO:0042723	0.000170333472764181	1	1
GO:0072528	0.000536055630539002	1	1
