GO_ID	D8vsD0	D11vsD8	D11vsD0	D18vsD8	D18vsD0
GO:0043170	0.00146308353506801	1	1	1	1
GO:0098732	0.00150740839201751	1	1	1	1
GO:0035601	0.00150740839201751	1	1	1	1
GO:0010558	0.00160781281483357	1	1	1	1
GO:0043467	0.00167424902956765	1	1	1	1
GO:0032445	0.00170282889316109	1	1	1	1
GO:1990539	0.00170282889316109	1	1	1	1
GO:1900124	0.00170282889316109	1	1	1	1
GO:0038099	0.00170282889316109	1	1	1	1
GO:1900123	0.00170282889316109	1	1	1	1
GO:0045934	0.00173267234783214	1	1	1	1
GO:0046483	0.00188738297465389	1	1	1	1
GO:0031327	0.002088385682737	1	1	1	1
GO:0052909	0.00225212853611645	1	1	1	1
GO:0043739	0.00225212853611645	1	1	1	1
GO:1905183	0.00225212853611645	1	1	1	1
GO:1905381	0.00225212853611645	1	1	1	1
GO:1905184	0.00225212853611645	1	1	1	1
GO:0016150	0.00225212853611645	1	1	1	1
GO:0006725	0.00229532818947704	1	1	1	1
GO:0097009	0.00242619865977589	1	1	1	1
GO:0009890	0.00250015902612712	1	1	1	1
GO:0006807	0.00261558926018397	1	1	1	1
GO:0006397	0.0026193505835677	1	1	1	1
GO:0006110	0.00265432649672175	1	1	1	1
GO:0089718	0.0027720421680234	1	1	1	1
GO:0044260	0.00287238287375764	1	1	1	1
GO:0016071	0.00295076975341917	1	1	1	1
GO:0044238	0.00301238348078187	1	1	1	1
GO:0001222	0.00301473665949281	1	1	1	1
GO:0098739	0.00322024828608402	1	1	1	1
GO:0000122	0.00336206501699719	1	1	1	1
GO:0032991	0.00338809349011688	1.31882261062089e-07	1	1	1
GO:0050405	0.00340285154226649	1	1	1	1
GO:0047322	0.00340285154226649	1	1	1	1
GO:0031930	0.00340285154226649	1	1	1	1
GO:0060567	0.00340285154226649	1	1	1	1
GO:1990519	0.00340285154226649	1	1	1	1
GO:0015218	0.00340285154226649	1	1	1	1
GO:0006864	0.00340285154226649	1	1	1	1
GO:0051941	0.00340285154226649	1	1	1	1
GO:0051946	0.00340285154226649	1	1	1	1
GO:0030905	0.00340285154226649	1	1	1	1
GO:0009451	0.003460091428673	1	1	1	1
GO:0043090	0.00352895342890381	1	1	1	1
GO:1902475	0.00366346679421285	1	1	1	1
GO:0015807	0.00408118179314032	1	1	1	1
GO:0043470	0.00408118179314032	1	1	1	1
GO:0034660	0.00420194181203865	1	1	1	1
GO:0004815	0.00449930842680091	1	1	1	1
GO:0031012	1	4.3488690810658e-14	1.14251409145187e-24	1.58559965065132e-23	1.17411562944986e-35
GO:0030312	1	4.9119394719056e-14	1.60858996214273e-24	1.85506258362133e-23	1.65271056575506e-35
GO:0062023	1	3.08929311718417e-13	1.64694689957166e-23	2.09318352771699e-22	2.93691457629959e-35
GO:0030198	1	3.30782382283407e-13	2.14971080826617e-17	3.86846058855142e-16	6.37367341290262e-21
GO:0043062	1	3.5830360492144e-13	2.58329893405585e-17	4.20544862637468e-16	7.50321654642731e-21
GO:0045229	1	3.87985021863009e-13	3.10130340545522e-17	4.57026596571858e-16	8.82624535943777e-21
GO:0016043	1	3.32477383747235e-12	3.00126968184393e-23	1	1
GO:0071840	1	1.72253548656116e-11	1.99997976312319e-20	1	1
GO:0005515	1	1.74819285041271e-11	6.8537596338621e-39	7.15619051131458e-11	1.54767226713045e-15
GO:0005201	1	3.77856331504263e-11	4.44095558240879e-18	5.42007887622834e-23	1.13543908859773e-24
GO:0016477	1	1.55063251976671e-10	1.59076778463681e-19	1.20189776792826e-11	4.66184114418239e-24
GO:0099080	1	4.91897907160296e-10	1	1	1
GO:0048731	1	5.70871765705645e-10	2.19570187433557e-38	3.65253636085582e-07	4.61748084730356e-20
GO:0099081	1	7.16606485520565e-10	1.43809588763955e-15	1	1
GO:0048522	1	8.03896797680311e-10	7.05153580899835e-15	7.81908160368972e-09	3.05219318752769e-10
GO:0071495	1	1.04882932815383e-09	1	1	1
GO:0006928	1	1.22531748572315e-09	1.57821348476428e-25	5.53283866960481e-09	1.60653686009678e-17
GO:0048870	1	1.45613349183752e-09	7.20341706614443e-18	1.86539048288334e-11	5.35639182221749e-21
GO:0051674	1	1.45613349183752e-09	7.20341706614443e-18	1.86539048288334e-11	5.35639182221749e-21
GO:0030020	1	2.99101687801269e-09	1	7.74521482245367e-12	1
GO:0071560	1	3.15709759319978e-09	1	8.6876226545983e-07	1
GO:0040011	1	3.37888392844287e-09	8.05807536603608e-22	2.32875994787228e-10	3.78580521750125e-20
GO:0071559	1	4.26272888037509e-09	1	1.07474886251866e-06	1
GO:0098644	1	4.4765730778564e-09	1	3.32985021901096e-08	1
GO:0007275	1	5.20866315460639e-09	1.93814696436986e-37	2.97866349588321e-06	7.80986958007272e-19
GO:0051239	1	6.24984913093329e-09	2.82768532724229e-17	5.33641112425158e-09	2.5330880839522e-14
GO:0099512	1	6.78238840266095e-09	4.52243886295451e-15	1	1
GO:0007155	1	7.45205661796891e-09	1.13901181289281e-20	2.38237037364923e-09	1.15683441262348e-21
GO:0032879	1	7.74692200660193e-09	8.70510066128662e-27	8.37695806459648e-08	1.39584975195199e-14
GO:0048518	1	8.64449682732922e-09	1	7.31372782631182e-12	8.02001111988888e-10
GO:0009653	1	9.15857018291148e-09	1.30394748189139e-36	5.94019037965663e-08	3.70363663311817e-19
GO:0072359	1	9.78234516335644e-09	1.11639043463749e-20	2.96786050012688e-09	1.18770766543615e-17
GO:0030199	1	9.79864264375933e-09	1	2.9959459813693e-11	1.92997181896952e-13
GO:0007179	1	1.04313759408768e-08	1	1.13734044922932e-07	1
GO:0048856	1	1.282979686073e-08	1.61473734991863e-36	1	8.10196528942515e-19
